Query;Matched name;Price;PRoduct link;Shop name;Matched name;Price;PRoduct link;Shop name;Matched name;Price;PRoduct link;Shop name
Plastic Garden Hose Bib Tap - Brown (12 x 12mm);Builders Plastic Garden Hose Bib Tap - Brown (12 x 12mm);ZAR 85.00;https://www.builders.co.za/Outdoor-Garden-and-Patio/Garden-Decor/Garden-Taps/Builders-Plastic-Garden-Hose-Bib-Tap---Brown--12-x-12mm-/p/000000000000454823;;Builders Plastic Garden Hose Bib Tap - Brown (12 x 12mm);ZAR 85.00;https://www.onecart.co.za/store/639/builders/product/461388/builders-plastic-garden-hose-bib-tap-brown-(12-x-12mm);
Plastic Garden Hose Bib Tap - Brown (19 x 19mm);Builders Plastic Garden Hose Bib Tap - Brown (19 x 19mm);ZAR 89.00;https://www.builders.co.za/Outdoor-Garden-and-Patio/Garden-Decor/Garden-Taps/Builders-Plastic-Garden-Hose-Bib-Tap---Brown--19-x-19mm-/p/000000000000454824;;Builders Plastic Garden Hose Bib Tap - Brown (19 x 19mm) ...;R178.00;https://www.bobshop.co.za/builders-plastic-garden-hose-bib-tap-brown-19-x-19mm/p/607714295;
5 kg Empty Gas Cylinder 5595;Cadac 5 kg Empty Gas Cylinder 5595;ZAR 749.00;https://www.builders.co.za/Load-Shedding/Gas-Cooking/Gas-Cylinders/Cadac-5-kg-Empty-Gas-Cylinder-5595/p/000000000000419011;;Cadac 5 kg Empty Gas Cylinder 5595;ZAR 749.00;https://www.onecart.co.za/store/639/builders/product/466554/cadac-empty-gas-cylinder-(5kg);
Stainless Steel Gas Stove Silver GCS04;Alva 2 Burner Stainless Steel Gas Stove Silver GCS04;ZAR 599.00;https://www.builders.co.za/Load-Shedding/Gas-Cooking/Camping-Gas-Cooking/Alva-2-Burner-Stainless-Steel-Gas-Stove-Silver-GCS04/p/000000000000457807;
Demand Bib Tap - Brass;Cobra Demand Bib Tap - Brass - CobraOnline;ZAR 1,599;https://www.cobraonline.co.za/products/cobra-demand-bib-tap-brass;;Tap Bib Demand Cobra Wall Type with Push Button Brass;ZAR 1,270;https://plumbitonline.co.za/product/tap-bib-demand-cobra-wall-type-with-push-button-brass;;Cobra Demand Bib Tap - Brass;ZAR 1,599;https://www.livecopper.co.za/products/cobra-demand-bib-tap-brass;
